192.168.0.121 - - [29/Jan/2015:12:31:57 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:31:58 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:07 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:07 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:08 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:09 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:10 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:10 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:10 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:11 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:11 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:11 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:12 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:12 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:13 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:14 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:15 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:15 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:16 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:17 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:17 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:17 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:17 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:17 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:18 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:18 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:19 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:22 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:22 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:22 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:29 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:29 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:32:30 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:33 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:32:41 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:42 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:32:54 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:32:54 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:33:15 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:33:16 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:33:16 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:33:16 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:33:16 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:33:17 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:33:19 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:33:19 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:33:20 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:33:21 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:33:21 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:33:22 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:33:25 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:34:59 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:03 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:06 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:06 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:10 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:14 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:14 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:35:16 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:20 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:21 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:24 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:24 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
